doi,all_authors
10.1016/j.omtn.2019.09.018,Maurin T.|Lalli E.|Capovilla M.|Grossi M.|Jarjat M.|Castagnola S.|Drozd M.|Delhaye S.|Bardoni B.|Brau F.
10.3847/0004-637X/832/1/33,Abe L.
10.1039/c9md00195f,Duca M.|Di Giorgio A.
10.1007/978-3-030-30048-7_17,Isoart N.|Régin J.
10.1038/s42255-019-0062-7,Jager J.
10.1007/s10955-020-02598-w,Bernardin C.|Chétrite R.|Chopra Y.
10.12681/mms.1231,Cheminée A.|Francour P.
10.1111/ele.13192,Vercken E.|Mailleret L.|Assa C.R.
10.1080/00015385.2018.1522074,Raffort J.|Lareyre F.
10.15252/emmm.201505384,Rezzonico R.
10.1029/2018JE005826,Morbidelli A.
10.3847/1538-3881/aabcc7,Crida A.
10.1080/10556788.2017.1359266,Pronzato L.
10.1016/j.neuropharm.2017.08.004,Besson T.|Lingueglia E.|Salinas M.
10.1016/j.jcp.2019.109176,Carmouze Q.
10.1016/j.jsames.2016.01.001,Renac C.
10.3917/sta.119.0065,Scoffier-Mériaux S.|Lentillon-Kaestner V.|Chaba L.|d'Arripe-Longueville F.
10.3917/reof.157.0235,Gaffard J.
10.1140/epjh/e2018-90061-5,Frisch U.
10.23919/EUSIPCO.2019.8902950,Richard C.|Richard C.
10.1109/CDC.2017.8264005,Hua M.|Hamel T.|Samson C.
10.1142/S0218127419501116,Lozi R.
10.1051/0004-6361/201730940,Ferrari C.
10.1088/1361-6382/aa60eb,Christensen N.
10.1080/14786419.2016.1154054,Landreau A.
10.1007/978-3-319-31580-5_10,Dimca A.
10.1080/14737159.2019.1611426,Hofman P.
10.1093/gji/ggx180,Agurto-Detzel H.
10.7554/eLife.54493,Wakkach A.|Madel M.B.|Boutin A.|Halper J.|Blin-Wakkach C.|Rouleau M.
10.1016/j.jcp.2016.06.003,Zhang Y.|Masson R.
10.1080/1350178X.2016.1172805,Brisset N.
10.1039/c9ra03305j,Mija A.
10.22489/CinC.2018.355,Meste O.|Azman M.
10.1145/3350546.3352502,Tettamanzi A.G.B.|Nguyen T.H.
10.1016/j.jse.2017.07.008,Bronsard N.|Trojani C.|Boileau P.
10.3390/cosmetics5010015,Plainfossé H.|Azoulay S.|Landreau A.|Fernandez X.
10.1117/12.2305948,Lippi G.
10.1051/0004-6361/201730438,Nardetto N.|Bigot L.|Chiavassa A.|Mourard D.
10.1016/j.jtho.2019.03.024,Zahaf K.|Marquette C.H.|Lalvée S.|Poudenx M.|Ilié M.|Long-Mira E.|Heeke S.|Benzaquen J.|Hofman P.|Hofman V.|Lassalle S.
10.1017/S0022377816000921,Passot T.|Sulem P.
10.1364/NP.2016.NW3B.5,Tissoni G.|Rimoldi C.|Barland S.
10.1200/JCO.18.02218,Borchiellini D.
10.1007/978-3-319-74183-3_9,Collet P.
10.1140/epjc/s10052-017-5451-z,Hello Y.|Deschamps A.
10.1016/j.image.2015.11.004,Peyrot J.|Payan F.|Antonini M.
10.4028/www.scientific.net/MSF.924.318,Portail M.
10.1007/s11187-020-00351-x,Pommet S.
10.1007/s10686-018-9615-0,Lagadec E.|Lagadec E.|Nardetto N.|Nardetto N.|Meilland A.|Meilland A.|Millour F.|Millour F.|Chiavassa A.|Chiavassa A.|Martinod M.|Martinod M.|Berio P.|Berio P.|Stee P.|Stee P.|Mourard D.|Mourard D.|Creevey O.|Creevey O.
10.1016/j.jtbi.2019.110015,Chaves M.|Almeida S.|Delaunay F.
10.1117/12.2313957,Beaulieu M.|N'diaye M.
